participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
614e2cd1989a33f47e767420,filler,27,filler,75,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,7,passive_v1,76,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,6,PO_implausible,77,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,12,passive_v1,78,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,42,filler,79,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
56ccc18e4fcf69000c1718aa,act-pass2,9,active_v1,0,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:27:21,Yes,United States
56ccc18e4fcf69000c1718aa,filler,2,filler,1,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:27:21,Yes,United States
56ccc18e4fcf69000c1718aa,filler,21,filler,2,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:27:21,Yes,United States
56ccc18e4fcf69000c1718aa,dopo,10,DO_plausible,3,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:27:21,Yes,United States
56ccc18e4fcf69000c1718aa,filler,31,filler,4,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:27:21,Yes,United States
56ccc18e4fcf69000c1718aa,filler,19,filler,5,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:27:21,Yes,United States
