participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,any_questions,english_first_language,country_of_birth
60b9689dc626572895cb801b,filler,25,filler,79,No,No,2023-05-15 00:47:31,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,13,DO_plausible,0,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,7,PO_implausible,1,Yes,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,27,filler,2,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,2,filler,3,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,34,filler,4,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,5,PO_plausible,5,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,12,DO_implausible,6,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,11,PO_plausible,7,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,24,filler,8,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,42,filler,9,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,3,passive_v1,10,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,10,DO_implausible,11,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,8,active_v1,12,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,2,passive_v2,13,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,20,filler,14,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,19,PO_implausible,15,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,12,active_v2,16,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,6,filler,17,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,25,filler,18,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,41,filler,19,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,3,DO_plausible,20,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,40,filler,21,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,20,PO_implausible,22,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,18,filler,23,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,6,PO_plausible,24,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,36,filler,25,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,5,active_v1,26,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,22,filler,27,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,43,filler,28,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,35,filler,29,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,3,filler,30,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,18,DO_implausible,31,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,45,filler,32,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,10,filler,33,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,12,filler,34,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,46,filler,35,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,21,filler,36,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,4,filler,37,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,15,filler,38,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,48,filler,39,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,38,filler,40,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,11,active_v2,41,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,6,active_v2,42,No,No,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,dopo,17,DO_plausible,43,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,act-pass2,4,passive_v1,44,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,44,filler,45,No,Yes,2023-05-15 00:47:36,NA,Yes,United States
5eee73cda03ed60e2dc646cc,filler,23,filler,46,Yes,Yes,2023-05-15 00:47:36,NA,Yes,United States
